Syllable,Concat
သူ ရိန်,သူရိန်
သူ ရ,သူရ
သီ ဟ,သီဟ
သီ ရိ,သီရိ
သီ တာ,သီတာ
ဇာ နည်,ဇာနည်
သ ဇင်,သဇင်
သ ခင်,သခင်
မာ လာ,မာလာ
နီ လာ,နီလာ
ယ မင်း,ယမင်း
ယ မုံ,ယမုံ
လ မင်း,လမင်း
ဇေ ယျာ,ဇေယျာ
ဇေ ယျ,ဇေယျ
ရ တ နာ,ရတနာ
အာ ကာ,အာကာ
ချယ် ရီ,ချယ်ရီ
အင် ကြင်း,အင်ကြင်း
စံ ပယ်,စံပယ်
ဗ ညား,ဗညား
ဂျူ လိုင်,ဂျူလိုင်
ဇူ လိုင်,ဇူလိုင်
ဝ သုန်,ဝသုန်
ဝ သန်,ဝသန်
ဆည်း ဆာ,ဆည်းဆာ
ပု လဲ,ပုလဲ
ပတ္တ မြား,ပတ္တမြား
ဒီ ပါ,ဒီပါ
က လျာ,ကလျာ
အေ မီ,အေမီ
သ ရ ဖီ,သရဖီ
ဧ က ရီ,ဧကရီ
က ဗျာ,ကဗျာ
အဥ္ဇ လီ,အဥ္ဇလီ
သင် ဇာ,သင်ဇာ
သ ရီ,သရီ
ဒါ လီ,ဒါလီ
ကု ဋေ,ကုဋေ
တွယ် တာ,တွယ်တာ
န ဒီ,နဒီ
သူ ဇာ,သူဇာ
သော် တာ,သော်တာ
စ နိူး,စနိူး
ရ တီ,ရတီ
ဇီ ဇ ဝါ,ဇီဇဝါ
ရာ ဇာ,ရာဇာ
ဧ ရာ,ဧရာ
ယ မုန်,ယမုန်
လ မင်း,လမင်း
ဝ န,ဝန
ရူ ပါ,ရူပါ
သ ရ ဖူ,သရဖူ
ဟန် နီ,ဟန်နီ
ဥတ္တ ရာ,ဥတ္တရာ
ဧ ပ ရယ်,ဧပရယ်